"sig_name"	"sig_type"	"n_with_contrib"	"n_total"	"frac_with_contrib"	"cancer_type"
"100"	"SBS7a"	"snv"	0	35	0	"Biliary-AdenoCA"
"101"	"SBS7b"	"snv"	0	35	0	"Biliary-AdenoCA"
"102"	"SBS7c"	"snv"	0	35	0	"Biliary-AdenoCA"
"103"	"SBS7d"	"snv"	0	35	0	"Biliary-AdenoCA"
"104"	"SBS8"	"snv"	0	35	0	"Biliary-AdenoCA"
"105"	"SBS9"	"snv"	1	35	0.0285714285714286	"Biliary-AdenoCA"
"106"	"SBS10a"	"snv"	0	35	0	"Biliary-AdenoCA"
"107"	"SBS10b"	"snv"	0	35	0	"Biliary-AdenoCA"
"108"	"SBS11"	"snv"	0	35	0	"Biliary-AdenoCA"
"109"	"SBS12"	"snv"	7	35	0.2	"Biliary-AdenoCA"
"110"	"SBS13"	"snv"	13	35	0.371428571428571	"Biliary-AdenoCA"
"111"	"SBS14"	"snv"	0	35	0	"Biliary-AdenoCA"
"112"	"SBS15"	"snv"	1	35	0.0285714285714286	"Biliary-AdenoCA"
"113"	"SBS16"	"snv"	0	35	0	"Biliary-AdenoCA"
"114"	"SBS17a"	"snv"	2	35	0.0571428571428571	"Biliary-AdenoCA"
"115"	"SBS17b"	"snv"	2	35	0.0571428571428571	"Biliary-AdenoCA"
"116"	"SBS18"	"snv"	8	35	0.228571428571429	"Biliary-AdenoCA"
"117"	"SBS19"	"snv"	0	35	0	"Biliary-AdenoCA"
"118"	"SBS20"	"snv"	0	35	0	"Biliary-AdenoCA"
"119"	"SBS21"	"snv"	1	35	0.0285714285714286	"Biliary-AdenoCA"
"120"	"SBS22"	"snv"	1	35	0.0285714285714286	"Biliary-AdenoCA"
"121"	"SBS23"	"snv"	0	35	0	"Biliary-AdenoCA"
"122"	"SBS24"	"snv"	1	35	0.0285714285714286	"Biliary-AdenoCA"
"123"	"SBS25"	"snv"	0	35	0	"Biliary-AdenoCA"
"124"	"SBS26"	"snv"	0	35	0	"Biliary-AdenoCA"
"125"	"SBS27"	"snv"	0	35	0	"Biliary-AdenoCA"
"126"	"SBS28"	"snv"	0	35	0	"Biliary-AdenoCA"
"127"	"SBS29"	"snv"	0	35	0	"Biliary-AdenoCA"
"128"	"SBS30"	"snv"	0	35	0	"Biliary-AdenoCA"
"129"	"SBS31"	"snv"	0	35	0	"Biliary-AdenoCA"
"130"	"SBS32"	"snv"	1	35	0.0285714285714286	"Biliary-AdenoCA"
"131"	"SBS33"	"snv"	0	35	0	"Biliary-AdenoCA"
"132"	"SBS34"	"snv"	0	35	0	"Biliary-AdenoCA"
"133"	"SBS35"	"snv"	0	35	0	"Biliary-AdenoCA"
"134"	"SBS36"	"snv"	0	35	0	"Biliary-AdenoCA"
"135"	"SBS37"	"snv"	0	35	0	"Biliary-AdenoCA"
"136"	"SBS38"	"snv"	0	35	0	"Biliary-AdenoCA"
"137"	"SBS39"	"snv"	0	35	0	"Biliary-AdenoCA"
"138"	"SBS40"	"snv"	28	35	0.8	"Biliary-AdenoCA"
"139"	"SBS41"	"snv"	0	35	0	"Biliary-AdenoCA"
"140"	"SBS42"	"snv"	0	35	0	"Biliary-AdenoCA"
"141"	"SBS43"	"snv"	0	35	0	"Biliary-AdenoCA"
"142"	"SBS44"	"snv"	1	35	0.0285714285714286	"Biliary-AdenoCA"
"143"	"SBS45"	"snv"	0	35	0	"Biliary-AdenoCA"
"144"	"SBS46"	"snv"	0	35	0	"Biliary-AdenoCA"
"145"	"SBS47"	"snv"	0	35	0	"Biliary-AdenoCA"
"146"	"SBS48"	"snv"	0	35	0	"Biliary-AdenoCA"
"147"	"SBS49"	"snv"	0	35	0	"Biliary-AdenoCA"
"148"	"SBS50"	"snv"	0	35	0	"Biliary-AdenoCA"
"149"	"SBS51"	"snv"	0	35	0	"Biliary-AdenoCA"
"150"	"SBS52"	"snv"	0	35	0	"Biliary-AdenoCA"
"151"	"SBS53"	"snv"	0	35	0	"Biliary-AdenoCA"
"152"	"SBS54"	"snv"	0	35	0	"Biliary-AdenoCA"
"153"	"SBS55"	"snv"	0	35	0	"Biliary-AdenoCA"
"154"	"SBS56"	"snv"	0	35	0	"Biliary-AdenoCA"
"155"	"SBS57"	"snv"	0	35	0	"Biliary-AdenoCA"
"156"	"SBS58"	"snv"	0	35	0	"Biliary-AdenoCA"
"157"	"SBS59"	"snv"	0	35	0	"Biliary-AdenoCA"
"158"	"SBS60"	"snv"	0	35	0	"Biliary-AdenoCA"
"159"	"ID1"	"indel"	33	35	0.942857142857143	"Biliary-AdenoCA"
"160"	"ID2"	"indel"	20	35	0.571428571428571	"Biliary-AdenoCA"
"161"	"ID3"	"indel"	23	35	0.657142857142857	"Biliary-AdenoCA"
"162"	"ID4"	"indel"	0	35	0	"Biliary-AdenoCA"
"163"	"ID5"	"indel"	25	35	0.714285714285714	"Biliary-AdenoCA"
"164"	"ID6"	"indel"	1	35	0.0285714285714286	"Biliary-AdenoCA"
"165"	"ID7"	"indel"	0	35	0	"Biliary-AdenoCA"
"166"	"ID8"	"indel"	19	35	0.542857142857143	"Biliary-AdenoCA"
"167"	"ID9"	"indel"	0	35	0	"Biliary-AdenoCA"
"168"	"ID10"	"indel"	0	35	0	"Biliary-AdenoCA"
"169"	"ID11"	"indel"	2	35	0.0571428571428571	"Biliary-AdenoCA"
"170"	"ID12"	"indel"	0	35	0	"Biliary-AdenoCA"
"171"	"ID13"	"indel"	0	35	0	"Biliary-AdenoCA"
"172"	"ID14"	"indel"	0	35	0	"Biliary-AdenoCA"
"173"	"ID15"	"indel"	0	35	0	"Biliary-AdenoCA"
"174"	"ID16"	"indel"	0	35	0	"Biliary-AdenoCA"
"175"	"ID17"	"indel"	0	35	0	"Biliary-AdenoCA"
"176"	"DBS1"	"dbs"	0	35	0	"Biliary-AdenoCA"
"177"	"DBS2"	"dbs"	33	35	0.942857142857143	"Biliary-AdenoCA"
"178"	"DBS3"	"dbs"	0	35	0	"Biliary-AdenoCA"
"179"	"DBS4"	"dbs"	16	35	0.457142857142857	"Biliary-AdenoCA"
"180"	"DBS5"	"dbs"	2	35	0.0571428571428571	"Biliary-AdenoCA"
"181"	"DBS6"	"dbs"	3	35	0.0857142857142857	"Biliary-AdenoCA"
"182"	"DBS7"	"dbs"	2	35	0.0571428571428571	"Biliary-AdenoCA"
"183"	"DBS8"	"dbs"	1	35	0.0285714285714286	"Biliary-AdenoCA"
"184"	"DBS9"	"dbs"	4	35	0.114285714285714	"Biliary-AdenoCA"
"185"	"DBS10"	"dbs"	0	35	0	"Biliary-AdenoCA"
"186"	"DBS11"	"dbs"	9	35	0.257142857142857	"Biliary-AdenoCA"
